YEAR,STATE,STRATUM,PLOT,DATE,CKTYPE,WETHAB,HANDFEED,ABDU_TIP,ABDU_TIB,AGWT_TIP,AGWT_TIB,BWTE_TIP,BWTE_TIB,CAGO_TIP,CAGO_TIB,CAGO_TIBN,COME_TIP,COME_TIB,GADW_TIP,GADW_TIB,HOME_TIP,HOME_TIB,MALL_TIP,MALL_TIB,MUSW_TIP,MUSW_TIB,WODU_TIP,WODU_TIB,OTHERTOT,TOTDUCKS
1993,CT,012 ,0062,5/8/1993,1,Y,N,0,0,,0,,0,,3,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0064,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0066,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0068,4/3/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0070,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,2,0,0,,0
1993,CT,012 ,0072,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0074,5/1/1993,2,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0076,5/9/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,4,8,,0,0,0,,8
1993,CT,012 ,0078,5/5/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0080,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0082,5/6/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0084,5/1/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,3,6,,0,1,2,,8
1993,CT,012 ,0086,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0088,5/3/1993,2,Y,N,0,0,,0,,0,,2,,,0,,,,0,1,2,,0,1,2,,4
1993,CT,012 ,0090,5/5/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0092,5/1/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,1,0,0,,0
1993,CT,027 ,0001,5/5/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,2,4,,4
1993,CT,027 ,0002,5/2/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,1,2,,0,3,6,,8
1993,CT,027 ,0003,5/2/1993,1,Y,N,0,0,,0,,0,,3,,,0,,,,0,0,0,,0,1,2,,2
1993,CT,027 ,0004,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,3,6,,0,0,0,,6
1993,CT,099 ,0001,5/15/1993,1,Y,N,13,32,,0,,1,,8,,,0,,,,0,3,6,,0,0,0,GADW 2,41
1993,CT,099 ,0002,5/7/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,2,4,,0,0,0,,4
1993,CT,099 ,0003,5/7/1993,1,Y,N,1,2,,0,,0,,2,,,0,,,,0,3,6,,0,0,0,,8
1993,CT,099 ,0004,5/16/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,099 ,0005,5/7/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,1,0,0,,0
1993,CT,099 ,0006,5/7/1993,1,Y,N,1,2,,0,,0,,6,,,0,,,,0,1,2,,0,0,0,,4
1993,DE,004 ,0006,4/29/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0008,5/1/1993,2,Y,N,2,4,,0,,0,,4,,,0,,,,0,4,8,,0,2,4,,16
1993,DE,004 ,0010,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0012,4/29/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0014,5/2/1993,2,Y,N,1,2,,50,,0,,0,,,0,,,,0,0,0,,0,0,0,,52
1993,DE,004 ,0016,5/2/1993,2,Y,N,2,4,,0,,2,,0,,,0,,,,0,1,2,,0,0,0,,8
1993,DE,004 ,0020,5/6/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,1,2,,0,0,0,,2
1993,DE,004 ,0022,5/2/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0024,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0026,4/29/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0028,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0921,5/6/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,004 ,0922,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,010 ,0004,5/8/1993,1,Y,N,0,0,,0,,0,,4,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,010 ,0921,5/8/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,010 ,0932,5/8/1993,1,Y,N,0,0,,0,,0,,39,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,010 ,0933,5/8/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,099 ,0001,5/1/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,099 ,0003,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,099 ,0004,5/1/1993,1,Y,N,2,4,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,4
1993,DE,099 ,0005,5/1/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,099 ,0006,5/1/1993,1,Y,N,7,14,,0,,0,,0,,,0,,,,0,3,6,,0,0,0,,20
1993,DE,099 ,0007,5/1/1993,1,Y,N,1,2,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,2
1993,DE,099 ,0008,5/1/1993,1,Y,N,5,10,,0,,0,,0,,,0,,,,0,1,2,,0,2,4,,16
1993,DE,099 ,0009,5/2/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,4,8,,0,0,0,GADW 1,9
1993,DE,099 ,0010,5/2/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,099 ,0011,5/2/1993,1,Y,N,1,2,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,4
1993,DE,099 ,0012,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,DE,099 ,0015,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,009 ,0004,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,009 ,0006,5/12/1993,2,Y,N,1,2,,4,,0,,0,,,0,,,,0,8,16,,0,0,0,,22
1993,MA,009 ,0008,5/12/1993,1,Y,N,0,0,,0,,0,,1,,,0,,,,0,2,4,,4,0,0,,4
1993,MA,009 ,0010,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,COEI 4,4
1993,MA,009 ,0012,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,UDUC 3,3
1993,MA,009 ,0016,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,009 ,0018,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,009 ,0020,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,009 ,0026,5/9/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,1,0,0,,2
1993,MA,009 ,0028,5/8/1993,2,Y,N,0,0,,0,,1,,2,,,0,,,,0,2,4,,0,0,0,,5
1993,MA,009 ,0038,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,009 ,0040,5/12/1993,1,Y,N,1,2,,0,,0,,1,,,0,,,,0,1,2,,6,0,0,,4
1993,MA,009 ,0042,5/8/1993,1,Y,N,1,2,,0,,0,,3,,,0,,,,0,4,8,,2,0,0,,10
1993,MA,012 ,0002,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0004,4/22/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0008,4/22/1993,1,Y,N,1,2,,0,,0,,0,,,0,,,,0,3,6,,0,0,0,,8
1993,MA,012 ,0010,5/8/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0012,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,2,4,,6
1993,MA,012 ,0014,4/30/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,012 ,0016,4/30/1993,1,Y,N,0,0,,0,,0,,4,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,012 ,0018,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0020,5/2/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0022,4/30/1993,1,Y,N,0,0,,0,,0,,23,,,0,,,,0,2,4,,0,0,0,,4
1993,MA,012 ,0024,5/8/1993,1,Y,N,1,2,,0,,0,,1,,,0,,,,0,0,0,,0,0,0,,2
1993,MA,012 ,0028,4/3/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0030,5/9/1993,2,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,4,0,0,,0
1993,MA,012 ,0032,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0034,4/23/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,4,8,,0,0,0,,8
1993,MA,012 ,0036,4/3/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0038,4/23/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0040,4/26/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,012 ,0042,4/22/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0044,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0046,4/23/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,3,6,,0,0,0,,6
1993,MA,012 ,0048,4/28/1993,1,Y,N,0,0,,0,,0,,1,,,0,,,,0,2,4,,0,0,0,,4
1993,MA,012 ,0050,5/2/1993,2,Y,N,1,2,,0,,0,,2,,,0,,,,0,0,0,,0,1,2,,4
1993,MA,012 ,0052,4/30/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0054,4/25/1993,1,Y,N,0,0,,0,,0,,3,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,012 ,0056,5/6/1993,1,Y,N,1,2,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,2
1993,MA,012 ,0058,5/6/1993,1,Y,N,1,2,,0,,0,,1,,,0,,,,0,0,0,,0,0,0,,2
1993,MA,012 ,0060,5/3/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,2,4,,0,0,0,,4
1993,MA,012 ,0062,4/30/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0064,4/23/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0066,4/29/1993,2,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0070,5/8/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0072,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0074,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,012 ,0076,4/22/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0080,4/3/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0082,4/30/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,012 ,0084,4/25/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0086,4/25/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,1,0,0,,0,1,2,,2
1993,MA,012 ,0088,4/28/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,4,8,,0,0,0,,8
1993,MA,012 ,0090,4/30/1993,2,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,2,4,,4
1993,MA,012 ,0092,4/28/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0094,5/1/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0096,4/22/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0098,4/30/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0100,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0102,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0110,4/22/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,012 ,0112,5/2/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,3,6,,6
1993,MA,012 ,0114,5/1/1993,1,Y,N,1,2,,0,,0,,2,,,0,,,,0,1,2,,0,1,2,,6
1993,MA,027 ,0002,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,027 ,0004,4/28/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,027 ,0008,5/5/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0010,5/2/1993,2,Y,N,0,0,,0,,0,,1,,,0,,,,0,1,2,,0,3,6,,8
1993,MA,027 ,0012,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0014,5/9/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,027 ,0016,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,2,4,,0,0,0,,4
1993,MA,027 ,0018,5/5/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0020,4/3/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0022,5/5/1993,2,Y,N,1,2,,0,,0,,1,,,0,,,,0,1,2,,0,1,2,,6
1993,MA,027 ,0024,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,027 ,0026,5/4/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0028,4/28/1993,1,Y,N,1,2,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,2
1993,MA,027 ,0030,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0032,4/28/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0034,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,027 ,0036,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0006,5/6/1993,1,Y,N,0,0,,0,,0,,1,,,0,,,,0,2,4,,0,0,0,,4
1993,MA,099 ,0014,5/9/1993,2,Y,N,1,2,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,2
1993,MA,099 ,0022,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0024,5/7/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,099 ,0026,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,COEI 4,4
1993,MA,099 ,0030,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,2,0,0,,0
1993,MA,099 ,0032,5/17/1993,2,Y,N,13,32,,0,,0,,0,,,0,,,,0,1,4,,0,0,0,,36
1993,MA,099 ,0034,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0036,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0078,5/6/1993,1,Y,N,0,0,,0,,0,,4,,,0,,,,0,1,2,,0,0,0,,2
1993,MA,099 ,0102,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0104,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0106,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MA,099 ,0108,5/6/1993,1,Y,N,2,4,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,6
1993,MA,099 ,0110,5/12/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0002,4/24/1993,1,Y,Y,0,0,,0,,0,,60,,,0,,,,0,29,68,,0,0,0,,68
1993,MD,004 ,0004,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MD,004 ,0006,5/2/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,1,2,,0,0,0,,2
1993,MD,004 ,0008,5/2/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0010,4/24/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,1,2,,2
1993,MD,004 ,0012,4/24/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MD,004 ,0014,4/23/1993,1,Y,N,1,2,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,2
1993,MD,004 ,0016,4/22/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,6,12,,14
1993,MD,004 ,0018,4/30/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0020,4/17/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,2,4,,0,0,0,,4
1993,MD,004 ,0022,4/29/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0024,4/25/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0026,4/24/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0028,4/24/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0030,5/1/1993,1,Y,N,1,2,,0,,0,,0,,,0,,,,0,2,4,,0,0,0,,6
1993,MD,004 ,0032,4/17/1993,1,Y,N,0,0,,0,,0,,1,,,0,,,,0,1,2,,0,2,4,,6
1993,MD,004 ,0034,5/7/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,3,6,,0,0,0,,6
1993,MD,004 ,0036,4/17/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0038,4/24/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0040,4/30/1993,1,Y,Y,0,0,,0,,0,,4,,,0,,,,0,5,15,,3,0,0,,15
1993,MD,004 ,0042,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,6,19,,0,11,41,,60
1993,MD,004 ,0044,4/23/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,2,4,,6
1993,MD,004 ,0046,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,9,18,,0,0,0,,18
1993,MD,004 ,0048,4/28/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0050,4/29/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,4,8,,8
1993,MD,004 ,0052,4/23/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0054,4/28/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0056,4/23/1993,1,Y,N,0,0,,0,,0,,1,,,0,,,,0,7,14,,0,0,0,,14
1993,MD,004 ,0058,4/23/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,MD,004 ,0060,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,3,6,,0,1,2,,8
1993,MD,004 ,0062,4/30/1993,1,Y,N,2,4,,0,,0,,2,,,0,,,,0,0,0,,2,0,0,,4
1993,MD,004 ,0064,5/1/1993,1,Y,N,0,0,,0,,0,,2,,,0,,,,0,12,30,,0,1,7,,37
1993,MD,004 ,0066,4/16/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,MD,004 ,0068,4/30/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,2,0,0,,0
